,vid_name,frame,x,y,w,h,gender,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
160,sotu,35000,967,298,113,113,female,55.0,0.015,0.0,0.001,0.0,0.0,0.015,0.803,0.18,0.0
161,sotu,36000,728,333,207,207,male,48.0,0.0,0.002,0.0,0.0,0.0,0.0,0.994,0.003,0.0
162,sotu,36000,30,351,192,192,male,51.0,0.695,0.0,0.027,0.0,0.0,0.695,0.277,0.0,0.0
163,sotu,36000,505,218,185,185,male,71.0,0.0,0.014,0.003,0.0,0.0,0.0,0.976,0.006,0.0
164,sotu,37000,565,140,143,143,male,67.0,0.002,0.001,0.01,0.001,0.002,0.002,0.823,0.026,0.135
165,sotu,37000,222,226,123,123,male,61.0,0.0,0.0,0.001,0.0,0.0,0.0,0.995,0.003,0.0
166,sotu,37000,945,264,117,117,female,56.0,0.001,0.001,0.005,0.0,0.001,0.001,0.972,0.008,0.011
167,sotu,38000,499,177,233,233,female,48.0,0.1,0.001,0.001,0.001,0.0,0.1,0.867,0.03,0.0
168,sotu,39000,523,121,144,144,male,61.0,0.081,0.013,0.005,0.002,0.0,0.081,0.887,0.008,0.002
169,sotu,39000,240,218,121,121,male,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
170,sotu,39000,947,255,117,117,female,56.0,0.011,0.0,0.002,0.0,0.0,0.011,0.985,0.001,0.0
171,sotu,41000,821,418,53,53,male,61.0,0.0,0.001,0.001,0.0,0.0,0.0,0.828,0.169,0.0
172,sotu,41000,47,398,47,47,male,26.0,0.0,0.001,0.0,0.0,0.0,0.0,0.999,0.0,0.0
173,sotu,41000,551,499,45,45,male,56.0,0.0,0.016,0.003,0.002,0.0,0.0,0.565,0.413,0.0
174,sotu,41000,948,264,43,43,male,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
175,sotu,41000,371,551,42,42,male,37.0,0.0,0.0,0.002,0.0,0.0,0.0,0.963,0.035,0.0
